name,years active,player id,position
Reece  Hannam,2017-2020,974b8e7f,DF
Emmanuel  Idem,2017-2020,a5433d93,GK
Sandy  MacIver,2019-2020,90ebe6bf,GK
Andrew  McCorkell,2017-2020,e0428e0e,MF
Rayhaan  Tulloch,2017-2020,bddd8ba3,MF
Vencislav  Vasilev,2019-2020,0994ccc7,GK
Max Aarons,2017-2020,774cf58b,DF
Rolando Aarons,2014-2020,c5942695,MF
Brad Abbott,2014-2020,d6fa48c0,MF
Tammy Abraham,2015-2020,f586779e,FW
Timmy Abraham,2018-2020,94ad5868,FW
Tristan Abrahams,2016-2020,cfd667ae,FW
Emile Acauah,2018-2020,9fa500fb,FW
Mathew Achuba,2018-2020,c856c90c,DF
Charlee Adams,2013-2020,7d80136e,MF
Che Adams,2014-2020,f2bf1b0f,FW
Kielen Adams,2019-2020,453fa582,FW
Tosin Adarabioyo,2015-2020,c81d773d,DF
Alex Addai,2016-2020,2ae8286c,FW
Angela Addison,2019-2020,4fdc46a1,MF
Elijah Adebayo,2017-2020,0480ebc7,FW
Rio Adebisi,2019-2020,94fe66e5,DF
Manny Adebowale,2017-2020,6b540029,DF
Victor Adeboyejo,2014-2020,e3c24495,FW
Hakeeb Adelakun,2012-2020,042d182c,FW
Oluwatomisin Adeloye,2017-2020,eb8afd9e,FW
Dennis Adeniran,2016-2020,506eff98,MF
Daniel Adshead,2017-2020,8f817fc7,MF
Oladapo Afolayan,2017-2020,5054c359,FW
Kieran Agard,2009-2020,a6c9bf1c,FW
David Agbontohoma,2019-2020,e56c5673,FW
Manny Agboola,2016-2020,f381c1de,GK
Sam Agius,2018-2020,8d5e1cb7,GK
Liam Agnew,2014-2020,0b93efcd,MF
Dan Agyei,2014-2020,5c374509,FW
Jack Aidan Clarke,2017-2020,a3934ede,MF
Will Aimson,2013-2020,4f71beda,DF
Jordan Aina,2018-2020,57731a14,DF
Simon Ainge,2006-2020,0fc0fbab,DF
Callum Ainley,2015-2020,836e8740,MF
David Ajiboye,2017-2020,5b1e9f24,MF
Nicky Ajose,2010-2020,9ba0ea6e,FW
Ibrahim Akanbi,2019-2020,53d9401d,FW
John Akinde,2007-2020,93a09a47,FW
Adebayo Akinfenwa,2003-2020,dcb17ca5,FW
Olatunji Akinola,2017-2020,f148e802,DF
Simeon Akinola,2014-2020,e48edc45,FW
Lucas Akins,2006-2020,a8e93bd1,MF
James Akintunde,2014-2020,2e13c8c4,FW
Chuba Akpom,2013-2020,e2b384d2,FW
James Alabi,2012-2020,1c7b983d,FW
Marc Albrighton,2009-2020,b827d5b3,FW
Craig Alcock,2006-2020,86f6cfd2,DF
Ryan Alebiousu,2019-2020,ce048fb8,FW
Ajibola Alese,2017-2020,182a8b9d,DF
Lewis Alessandra,2007-2020,c9b22fff,FW
Kyle Alex John,2018-2020,c9093a1a,MF
Cheye Alexander,2014-2020,9f0cfe44,DF
Matthew Alexander,2019-2020,246cd0f4,GK
Trent Alexander-Arnold,2016-2020,cd1acf9d,DF
AlexGorst,2019-2020,8ae572cf,GK
Thomas Allan,2017-2020,e95726c1,MF
Tarryn Allarakhia,2018-2020,81db2ca6,MF
Ellis Allen,2019-2020,a90d553b,GK
Flo Allen,2017-2020,05fae887,DF
