,Player Name,Players ID,Years Active,Position Played
0,,2b6b7402, 2020,FW
1,Gustavo  Ascona,071c6f90,2017-2020,FW
2,Leandro  Paschetta,0437f98f,etta 2015,MF
3,Franco  Quinteros,c4760af0,2017-2020,MF
4,Zaid  Romero,71c980b7,2019-2020,MF
5,Carlos A. Ramos,76c4dad9,2001-2004,DF
6,Alfredo Ábalos,2c717314,2017-2018,MF
7,Leonardo Abálsamo,330f2c07,samo 2009,FW
8,Gonzalo Abán,49b8eec6,2005-2018,FW
9,Guido Abayián,064682c7,2012-2013,FW
10,Pato Abbondanzieri,ea4c5dbd,2001-2010,GK
11,Luciano Abecasis,6c510f2d,2012-2020,DF
12,Matías Abelairas,158383a0,2004-2020,MF
13,Ramón Ábila,db5ee72d,2015-2020,FW
14,Nicolás Abot,2ba820bc,2010-2011,FW
15,David Abraham,565bf0da,2003-2020,DF
16,Martín Abraham,9d9890d4,aham 2018,FW
17,Gustavo Abregú,1d24b10e,2018-2019,DF
18,Marcos Abreliano,16013aaf,2017-2018,DF
19,Miguel Abrigo,9ebd35a9,2005-2006,DF
20,José Acciari,9e98922b,2001-2015,MF
21,Jonás Acevedo,0b419c37,2017-2019,MF
22,Lucas Acevedo,6494b66c,2014-2020,DF
23,Nelson Acevedo,edcdcc58,2014-2020,MF
24,Walter Acevedo,393613e2,2004-2015,MF
25,David Achucarro,9b4c4a50,2009-2020,DF
26,Diego Acoglanis,93ad11c0,anis 2006,MF
27,Alberto Acosta,0e552f4c,2000-2004,FW
28,Claudio Acosta,7974847a,2005-2009,FW
29,Enzo Acosta,8701b81b,2016-2017,MF
30,Guillermo Acosta,1bae6597,2016-2020,DF
31,Joel Acosta,1bcdd05d,2010-2019,MF
32,Jonathan Acosta,ed89d842,osta 2017,MF
33,Lautaro Acosta,2a3af4d5,2005-2020,FW
34,Leonardo Acosta,4fc9d2aa,osta 2016,FW
35,Lucas Acosta,33a6abf6,2006-2017,MF
36,Lucas Acosta,50f7c408,2015-2019,GK
37,Luciano Acosta,363ba6d7,2013-2020,MF
