,Player Name,Players ID,Years Active,Position Played
0,Guilherme  Neto,181ebaf4,2016-2018,GK
1,Leilson  Oliveira,fcff6452,eira 2017,MF
2,Karlenilson  Silva,4254dedf,ilva 2016,GK
3,Goncalves  Tiago,ced710a4,iago 2016,GK
4,Abedi,b396f6ca,2005-2011,MF
5,Abner,70fa1364,bner 2016,MF
6,Abner,7f9c5d2d,bner 2019,MF
7,Abner,8e562fe7,2013-2019,DF
8,Douglas Abner,d6abf258,2015-2016,FW
9,Fernando de Abreu Ferreira,4d387d87,eira 2011,DF
10,Renato Abreu,4d2fae3a,2003-2013,MF
11,Vinícius de Abreu,821aaafd,2003-2008,FW
12,Abuda,438591fc,2012-2018,MF
13,Abuda,63bac907,2003-2012,FW
14,Danildo Accioly,7a44c4aa,2003-2019,DF
15,Pedro Acorsi,8fe00896,orsi 2019,MF
16,Jean Acosta Soares,fe1903ff,2009-2011,MF
17,Diogo Acosta,1fc090d0,2012-2019,FW
18,Ianson Acosta,b05ef215,2016-2018,DF
19,"Adaílton 1999-2012 · FW · Hellas Verona, Bologna, Vaslui, Genoa",06e3ae04,1999-2012,FW
20,Adaílton,af077ebd,2003-2013,DF
21,Adaílton,c571aa1c,2014-2016,DF
22,Adaílton,ce7c48a9,2005-2006,DF
23,Adaílton,e90f5c7c,2008-2020,MF
24,Adalberto,c6cd663c,2006-2017,DF
25,Adalberto,edecb971,2016-2019,DF
26,André Adam,cb065fa9,Adam 2015,MF
27,Tiago Adan,34d260ef,2008-2017,FW
28,Welington Adao Gomes,3e20b934,omes 2012,FW
29,Felipe Adão,bf361dbf,2006-2017,FW
30,Adauto,79617f1b,auto 2006,FW
31,Adauto,d7a6c0aa,auto 2018,MF
32,Adeílson,d1b3afca,2006-2013,FW
33,Ademilson,bda3c3a3,2012-2020,FW
34,Ademir,058c206a,emir 2015,MF
35,Adhemar,f2a2a887,2000-2003,FW
36,Adílson,c91af042,2006-2012,GK
37,Adilson,d4c596b9,lson 2012,FW
38,Adoniran,b3520f14,2007-2009,MF
39,Adriano,05fa2c7d,2010-2019,FW
40,Adriano,0ac43bd7,2007-2015,FW
41,Adriano,20b7181a,2002-2005,GK
42,Adriano,4aa932b6,2001-2006,MF
43,Adriano,4ec73d8a,2001-2011,FW
44,Adriano,81053aea,iano 2019,FW
45,Adriano,8be9bd0d,2005-2009,FW
46,Adriano,9d8586c4,2003-2019,MF
47,Adriano,b2f3ebd6,2003-2010,MF
48,Adriano,bd8b862a,2015-2016,FW
49,Adriano,dda3660b,2009-2012,DF
50,Adriano,e9350581,2003-2013,DF
51,Adriano,fed41ad6,2002-2010,FW
52,Luiz Adriano,2557c196,2006-2020,FW
53,Adryan,769bba76,2012-2020,MF
54,Adryelson,df88e65d,2016-2017,DF
55,Adryelson,e980e78d,2015-2019,DF
56,Advaldo,9f2d1f81,2003-2007,MF
57,Raphael Aflalo,ec9f0a6c,2018-2020,GK
58,João Afonso Crispim,e40bdb5d,2013-2020,MF
59,Manoel Afonso Júnior,db32d8e2,2011-2013,FW
60,Alex Afonso,796e9669,2003-2013,FW
61,Marcel Afonso,f1fa0d42,onso 2016,DF
62,Lucas Áfrico,8fd083bb,2018-2020,DF
63,Agenor,0e0c5a2b,2006-2012,MF
64,Agnaldo,2edca92d,aldo 2005,FW
65,Agnaldo,8b02416f,2013-2019,FW
66,Bruno Agnello,604aaff3,2015-2016,MF
67,José Fernando de Aguiar Junior,d9388265,2010-2017,MF
68,Marcelo Aguiar Quarterole,6be70130,2005-2009,FW
69,Danilo Aguiar Rocha,e003e2f8,2007-2009,DF
70,Bruno Aguiar,31d56f6a,2008-2019,DF
71,Fábio Aguiar,27d8a498,2011-2019,DF
72,Ailson,cab87d89,2006-2013,DF
73,Aílton,34ac3ce3,2004-2019,FW
74,"Aílton 1999-2012 · FW · Werder Bremen, Schalke 04, Beşiktaş, Grasshopper, Hamburger SV, Rheindorf Altach, APOEL FC, MSV Duis",692a249e,1999-2012,FW
75,Ailton,74ced675,2013-2020,DF
76,Aílton,9e2a1064,2003-2014,MF
77,Airton,00dee972,2008-2019,MF
78,Airton,0bac718d,rton 2011,DF
79,Airton,4ac837ca,2016-2019,DF
80,Airton,751ef075,rton 2019,MF
81,Aislan,a07beed4,2008-2017,MF
82,Rafael Akai,c2c9b1bd,Akai 2005,FW
83,Reinaldo Alagoano,fb1a3b36,2007-2011,FW
84,Thiago Alagoano,ce3db78a,oano 2014,FW
85,Alan,246deea9,Alan 2016,DF
86,Alan,b35de685,Alan 2017,MF
87,Alan,cd279727,2016-2017,DF
88,Alan,fad1c7d4,2005-2010,DF
89,Juan Alano,88c61631,2017-2020,MF
90,Alanzinho,e7a02f20,2003-2016,MF
91,Alaor,3acc837d,2016-2017,MF
92,Andrei Alba,298fe40b,Alba 2016,MF
93,Albano,a2a27ef1,bano 2017,MF
94,Albérico,c255cd92,2005-2006,GK
95,Francisco Alberoni,1004e28d,2006-2011,MF
96,Albertinho,4214bca0,inho 2003,FW
97,Alberto,fd3f1533,2004-2008,FW
98,Carlos Alberto Santos,79ed8a9c,ntos 2001,MF
99,Carlos Alberto,08f48d96,erto 2019,FW
100,Carlos Alberto,3b04547d,2006-2010,DF
101,Carlos Alberto,47028ac3,erto 2018,MF
102,Carlos Alberto,7ce06365,2007-2010,DF
103,Carlos Alberto,97622c35,2013-2016,MF
104,Carlos Alberto,a5c2f0c4,erto 2016,FW
105,Carlos Alberto,b18e1964,2003-2013,MF
106,Carlos Alberto,b5eb0c7b,2003-2012,MF
107,Carlos Alberto,ce3b4ddd,2003-2017,MF
108,Luís Alberto,7e95a4db,2003-2017,MF
109,Luiz Alberto,5b803ce4,2000-2013,DF
110,Luiz Alberto,f38415d5,2011-2015,DF
111,Yuri Alberto,65159211,2017-2019,FW
112,Matheus Albino,dff1519a,2015-2019,GK
113,Elízio Albues,cede1561,2014-2015,DF
114,Rogério de Albuquerque Corrêa,75791892,2005-2006,os
115,Roberto Alcântara Ballesteros,a11fae74,2004-2009,FW
116,Hugo Alcântara,3a733513,2002-2012,DF
117,Alceu,ca44f28d,2004-2016,MF
118,Alcides,82f9aee1,2004-2014,DF
119,Zé Alcino 1999-2000 · FW · Nancy,4fb02646,1999-2000,FW
120,"Aldair 1998-2004 · DF · Roma, Genoa, Brazil",7b0ec088,1998-2004,DF
121,Aldair,a83a30ea,dair 2016,FW
122,Aldo,a9007961,2006-2018,DF
123,José Aldo,2f90595a,Aldo 2019,MF
124,Alê,55595f36,2006-2012,GK
125,Alê,6c5396f1,2006-2012,MF
126,Ale,b7d9347d,Ale 2019,MF
127,Alê,f0eea7e9,2004-2013,MF
128,Alecsandro,266bd6fb,2003-2019,FW
129,Alef,d849ef0f,2015-2020,MF
130,Alef,ddf72d90,2013-2016,MF
131,Aleílson,f53dbbad,2009-2013,FW
132,Aleks,f87d3ffc,leks 2011,GK
133,Alemão,1265ce7b,2010-2018,FW
134,Alemão,14068e10,2004-2006,FW
135,Alemão,49696a6d,emão 2004,DF
136,Alemão,7b461c15,2004-2010,MF
137,Alemão,86686dc2,2014-2020,DF
138,Alemão,9c8ec789,2008-2019,DF
139,Alemão,bc631250,2016-2019,DF
140,Alexandre Alemão,3ed2a79b,emão 2018,FW
141,Fabio Alemao,95e36be9,2017-2018,DF
142,Márcio Alemão,17bfc3e7,2006-2013,DF
143,Raphael Alemão,dedca8ac,emão 2012,GK
144,Alencar,bfc37a87,2006-2008,GK
145,Tiago Alencar,76b2217b,2010-2012,DF
146,Alerrandro,3415a44d,2018-2019,FW
147,Alessandro,31f37644,2003-2013,DF
148,Alessandro,4a0281d7,2006-2008,MF
149,Alessandro,a823081a,2003-2015,DF
150,Diego Alessandro Rambo,5599f678,2003-2006,DF
151,Matheus Alessandro,4f64b89f,2017-2019,FW
152,Alesson,611e984e,2016-2019,MF
153,Alex,0b6c1e58,2011-2015,FW
154,Alex,38e72530,2003-2016,MF
155,Alex,4dd773ac,2010-2011,DF
156,Alex,58721835,2003-2016,DF
157,Alex,7367baf7,Alex 2018,DF
158,Alex,b2dea386,2003-2014,MF
159,Alex,d5a66dc9,2010-2018,FW
160,Alex,dc1ba369,2012-2017,MF
161,Cristian Alex,6cfcfe39,2014-2017,FW
162,Francisco Alex,95471322,2007-2016,MF
163,Alexander,44b03a8a,nder 2019,GK
164,Alexandre,28ef946f,2003-2006,MF
165,Alexandre,6c108711,ndre 2019,os
166,Alexandre,c4e8bb14,2005-2007,MF
167,Alexandre,cb066250,2005-2010,FW
168,Luciano Alexandre Silva,6f563e19,2011-2012,DF
169,Caio Alexandre,08ac23b7,ndre 2019,MF
170,Matheus Alexandre,0212e748,2018-2019,MF
171,Victor Alexandre,abf8e0fb,ndre 2018,MF
172,Alexandro,d768bd10,2008-2018,FW
173,Alexsander,ba0b2e2c,nder 2019,DF
174,Alfredo,5c4106e9,2016-2019,FW
175,Aline,aa00ba45,2016-2019,GK
176,Alípio,59052659,2016-2019,MF
177,Alison,79afc8df,2006-2007,FW
178,Alison,8a7ee260,ison 2019,DF
179,Alison,d39b373b,2013-2019,MF
180,Alison,ff3897d3,2008-2017,DF
181,Alisson,3357643b,sson 2017,DF
182,Alisson,64080e86,sson 2017,FW
183,Alisson,7a2e46a8,2013-2020,GK
184,Alisson,8974667c,sson 2018,DF
185,Alisson,99139fa4,2013-2019,MF
186,Alisson,aa6a7211,sson 2019,DF
187,Alisson,d5fc8394,sson 2016,DF
188,Alisson,d8a7ba7a,2016-2019,GK
189,Felipe Aliste Lopes,ffc33b67,2006-2019,DF
190,Allan,b15e93aa,2015-2019,MF
191,Allan,cc700722,2009-2020,MF
192,Allano,9c1245f8,2015-2019,MF
193,Eduardo Allax,7dfaeac8,2003-2010,GK
194,Allef,0aebc750,2017-2019,DF
195,Allyson,57e72dc9,2014-2017,FW
196,Allyson,a517aaf0,2005-2009,DF
197,Danilo Almeida Alves,2d9b9757,lves 2014,FW
198,Leandro Almeida Silva,a110e458,2007-2019,DF
199,Andrey Almeida,21f81ff8,2010-2013,FW
200,Anselmo de Almeida,7e0a879b,2007-2012,DF
201,Charles Almeida,b6374c0b,eida 2019,MF
202,Christopher Almeida,c935de86,2015-2016,FW
203,Henrique Almeida,8aa2f2e3,2009-2019,FW
204,Jordi Almeida,774af19d,2015-2019,GK
205,Lucas Almeida,66f67b9e,eida 2017,DF
206,Luciano Almeida,76e79316,2003-2008,DF
207,Lukian Araújo de Almeida,0f66cbcc,eida 2019,FW
208,Paulo Almeida,b56da26b,2003-2011,MF
209,Peter de Almeida,e43620bd,2003-2008,MF
210,Weverton Almeida,faff0f92,eida 2017,DF
211,Almir,5b15cd67,2008-2014,FW
212,Aloísio,1c0f1add,2008-2017,MF
213,"Aloísio 1999-2013 · FW · São Paulo, Paris Saint-Germain, Saint-Étienne, Brasiliense, CRB, Rubin Kazan, Athletico Paranaense, ",9a3cc558,1999-2013,FW
214,Alonso,4db5b4b2,2003-2011,DF
215,Mauro Alonso,6febe8a1,2011-2014,MF
216,Estevão Alvarenga Toniato,a1a5e30d,iato 2009,DF
217,Matheus Alvarenga,e48e1310,enga 2019,FW
218,Álvaro,3bb76c65,2000-2013,DF
219,Alvaro,d9bf9720,2018-2019,MF
220,Alex Alves Cardoso,2243fce2,2012-2018,DF
221,Tiago Alves Fraga,ed138305,2003-2011,MF
