,Player Name,Players ID,Years Active,Position Played
0,Mouhamed  Belkheir,14340768,2018-2019,FW
1,Jean-Yves  Capasso,2e95309c,2017-2018,DF
2,Samir  Chibah,0692cce5,2018-2019,DF
3,Jérémy  Corinus,42d3fa9f,2018-2020,DF
4,Lucas  Cuenin,2146b126,2018-2020,DF
5,Chérif  Faty,92efd138,2017-2018,MF
6,Roman  Gaudin,a33b2557,2018-2019,MF
7,Cédric  Lunardi,492de7f4,2017-2020,GK
8,Sillémane  Sene,aeff82ae,2018-2019,FW
9,Rayane Aabid,13792bac,2017-2019,MF
10,Abdelilah Aabiza,191084d1,2017-2020,FW
11,Abdelkader Aajji,0ade93c3,2018-2020,MF
12,Ismael Aaneba,a7e4760c,2017-2020,MF
13,Youssef Aatifi,76ef5455,2018-2019,MF
14,Jérémy Abadie,37bda879,2009-2019,MF
15,Léa Abadou,9ee6bbfb,2017-2019,DF
16,Yassine Abaidia,4bb0dc78,2018-2019,MF
17,Davis Abanda M'Fomo,ce0cfd70,2018-2019,MF
18,Leroy Abanda Mfomo,5af2731a,2019-2020,DF
19,"Jacques Abardonado 1999-2011 · DF · Nice, Marseille, Valenciennes, Lorient, Grenoble, Nürnberg",ecab07ee,1999-2011,DF
20,Nasser Abarkan,7095cf75,2018-2019,FW
21,Zakariya Abarouai,ac64eb68,2013-2016,FW
22,Nabil Abassou,8fcee117,2017-2019,MF
23,Benrandy Abdallah,ad8b16bb,2018-2020,DF
24,Dahalane Abdallah,deaf2462,2017-2018,DF
25,Hakim Abdallah,fe8b7048,2016-2017,FW
26,Ahmed Abdelkader,6b19dfcd,2019-2020,GK
27,Sofian Abdelkader,e6a620d0,2019-2020,FW
28,Billel Abdelkadous,82d349a2,2017-2020,MF
29,Amine Abdellaoui,72b283ec,2019-2020,MF
30,Himad Abdelli,7978cbf0,2018-2020,MF
31,Malik Abdelmoula,595ebb96,2018-2020,MF
32,Khaled Abdelouhab,c5be0c43,2017-2018,MF
33,Hassan Abderrahmane,9ee3c540,2017-2018,DF
34,Florent Abel,e9719ef8,2019-2020,FW
35,Loïc Abenzoar,d5246edc,2010-2018,DF
36,Laurent Abergel,31626657,2013-2020,DF
37,Charles Abi,469d3d84,2018-2020,FW
38,Éric Abidal,016828bd,2000-2015,DF
39,Zakaria Abidi,1dd541e0,2018-2019,FW
40,Camille Abily,269ad5a3,2011-2018,MF
41,Anthony Abou Deraa,e178d8c8,2018-2020,MF
42,Samassi Abou 1997-1999 · FW · West Ham United,170ea618,1997-1999,FW
43,Christopher Aboué,3331e49f,2011-2012,FW
44,Fabrice Abriel,94ae30a8,2000-2015,MF
45,Victor Abt,db9bfcbe,2019-2020,DF
46,Vincent Acapandié,de81b6e0,2011-2018,DF
47,Yanis Achaintre,c8a31b96,2019-2020,DF
48,Sofiane El Achak,ac5aa7ce,2018-2019,DF
49,Romain Achilli,5d063511,2013-2015,MF
50,Yanis Achour,61ff7d3c,2019-2020,DF
51,Adrian Adam,eaabae4c,2015-2016,MF
52,Cédric Adam,e1177ac8,2017-2018,GK
53,Frédéric Adam 1999-2006 · MF · Troyes,907a0e29,1999-2006,MF
54,Stéphane Adam,53f04a61,2000-2002,FW
55,Aboubacri Adama,a3ba40b5,2017-2018,FW
56,Gaël Adami,12a28852,2019-2020,MF
57,Jonathan Adegoroye,4e1cc750,2019-2020,DF
58,Anthony Adel,5436f125,2018-2019,MF
59,Grégory Adell,98060785,2018-2019,MF
60,Amir Adhadhi,d20fe6be,2016-2019,FW
61,Raphaël Adiceam,506662d6,2016-2018,GK
62,Ryan Adim,ecfaba0e,2018-2020,MF
63,Medhi Adine,2710fa7a,2019-2020,DF
64,Jorys Adjakly,dbf71965,2018-2019,MF
65,Daniel Adjei,6cc0b46d,2019-2020,DF
66,Geoffrey Adjet,25152ff1,2008-2018,DF
67,Amine Adli,dcfb17f4,2019-2020,MF
68,Yacine Adli,26777636,2017-2020,MF
69,Youssef Adnane,0cb152eb,2008-2016,FW
70,Abdelmalek Adnaouene,31b8399b,2019-2020,MF
71,Flavien Adnot,4bce8527,2018-2019,GK
72,Leygley Adou,b5233f4a,2019-2020,DF
73,Stéphane Adoueni,82943e67,2017-2018,DF
74,Amir Adouyev,e621fe01,2018-2020,MF
75,Jonathan Adrian,5033aae7,2017-2020,DF
76,Frédéric Advice-Desruisseaux,abd40813,2004-2005,MF
77,"Kodjo Afanou 1999-2007 · DF · Bordeaux, Gaziantepspor",74e09745,1999-2007,DF
78,Mohamed Affitou,01b8c519,2017-2018,DF
79,Kévin Afougou,c75ff78c,2012-2017,DF
80,Hadi Aftis,53418f98,2017-2018,DF
81,Laura Agard,1694020f,2017-2020,DF
82,Didier Agathe,053d8b6e,2000-2007,FW
83,Morgan Agbanglanon,d68740a0,2019-2020,DF
84,Maxime Agez,7ba2e570,2019-2020,GK
85,Léonard Aggoune,2a387dcf,2018-2019,GK
86,M. Aggrey,000127b3,2014-2015,DF
87,Faruk Aglar,c2247534,2018-2019,MF
88,Masallah Aglar,cc0ea2c2,2017-2018,FW
89,Dominique Agostini,ac0eb2f0,2009-2010,GK
90,Lucien Agoume,8bc8829a,2018-2020,MF
91,Brandon Agounon,618c95b8,2013-2018,MF
92,Ambroise Agrapart,f724e1d8,2018-2019,DF
93,Maxime Aguad,184a9cfd,2018-2020,DF
94,Bilel Agueni,ea64bb65,2013-2018,MF
95,Andréa Aguilar,29161913,2018-2019,DF
96,Ruben Aguilar,3dd738a1,2014-2020,MF
97,Christopher Ah Ting,2e7c5ed2,2017-2018,GK
98,Anli Ahamada,54a7f7c3,2017-2018,DF
99,"Hassan Ahamada 1999-2006 · FW-MF · Nantes, Belenenses, Beira-Mar, Bastia",63072d7a,1999-2006,MF
100,Imbad Ahamada,e439cb7a,2014-2018,GK
101,Daline Ahamadi,7f70c85c,2019-2020,GK
102,Jassime Ahamadi,09d536c2,2019-2020,FW
103,Elias Ahammad,adde378c,2018-2019,FW
104,Khalid Ahaytar,ebd29c1e,2019-2020,DF
105,Matteo Ahlinvi,5ea9ebd4,2016-2020,DF
106,Yann Ahmat,ce56e76a,2017-2020,DF
107,Sid Ahmed Dfeili,4bf64f02,2018-2019,DF
108,Fars Ahmiddouch,dc3d3f0d,2018-2019,DF
109,Idir Ahmin,c86f3f3f,2018-2019,DF
110,Josué Ahoure,082bab5e,2018-2019,FW
111,Youssef Ahytass,5a7e326f,2019-2020,MF
112,Kassim Aidara,793c82dd,2017-2020,MF
113,Mohamed Aidara,798d0550,2015-2018,MF
114,Jordan Aidoud,7fd1cada,2019-2020,MF
115,Hugo Aine,06c528ea,2014-2016,MF
116,Lyes Aiouazi,d15d0ffa,2017-2018,DF
117,Siegfried Aissi Kede,36f61526,2017-2018,GK
118,Liam Ait Aissa,6b0d7804,2019-2020,MF
119,Mustapha Aït Bouhou,1197b7c8,2017-2018,MF
120,Mouad Ait Boulaalam,56120801,2018-2019,MF
121,Hicham Ait Hrrou,c7d4cfb9,2019-2020,DF
122,Bilel Ait Malek,f3c06e16,2017-2019,MF
123,Rayan Aït Nouri,9b398aea,2017-2020,DF
124,Charaf Aït Saïd,8a8c192f,2017-2019,FW
125,Nordin Ait Sayid,9146e2ba,2017-2019,MF
126,Nordine Aït Yahia,f0f8260d,2014-2018,MF
127,Rachid Ait Ziane,4d50a9ab,2018-2019,MF
128,Hamza Aitouktir,80c9528b,2019-2020,MF
129,Nasser Ajouaou,0ebdc6bf,2019-2020,MF
130,Amine Ajouid,887ef541,2019-2020,FW
131,Hugo Akadjame,e5329d24,2018-2019,MF
132,Mohamed Akandji,1fae68c4,2019-2020,DF
133,Johanne Akassou,15a73706,2018-2020,FW
134,Abdeltif Akdim,779ef5a5,2017-2018,MF
135,Marley Aké,414e1f69,2019-2020,FW
136,Yanis Akeb Daoud,9a1b7a74,2018-2019,MF
137,Joachim Akeem Adeyemi,ad94ad5e,2018-2019,FW
138,Rassambek Akhmatov,5ba9ddd3,2018-2019,MF
139,Tony Akli,2897cdd5,2018-2019,DF
140,Mouloud Akloul,ad1e1169,2010-2011,DF
141,Herman Ako,d481ff37,2019-2020,MF
142,Steven Ako,9763b878,2018-2019,DF
143,Mohamed Akrafi,951dd4f9,2018-2019,DF
144,Mansour Akrour,e939bc9f,2018-2019,FW
145,Gustave Akueson,d5395642,2018-2020,DF
146,Emir Akyol,c4e2379c,2019-2020,MF
147,Youssef Alahyane,766fe045,2019-2020,FW
148,Sofiane Alakouch,5314e067,2015-2020,MF
149,Lucio Alamo Mendes,5d795fdf,2018-2019,MF
150,Youcef El Alaouni,ce40d016,2017-2018,FW
151,Amadou Alassane,a7127e9c,2008-2009,FW
152,Fapinho Alaza,ea31cbd0,2019-2020,DF
153,Guillaume Albarran,526537e7,2019-2020,GK
154,Pierre-François Albertini,89e02906,2017-2018,GK
155,Loïc Albrecht,57327bcd,2019-2020,MF
156,Ludovic Alcazar,18424841,2019-2020,FW
157,David Alcibiade,9b8970ce,2012-2019,DF
158,David Alcock,74a78860,2017-2018,GK
159,Alexis Alegue,0f4c0bad,2015-2020,FW
